,Home Team,Scores,Away Team
144,Shrewsbury Town,1 0,Northampton Town
145,Stevenage,1 0,Wigan Athletic
146,Accrington Stanley,2 1,Forest Green Rovers
147,Barrow,1 1,Notts County
148,Bradford City,1 0,Swindon Town
149,Colchester United,1 3,Morecambe
150,Crawley Town,0 1,Wrexham
151,Gillingham,2 1,Milton Keynes Dons
152,Mansfield Town,0 0,AFC Wimbledon
153,Newport County AFC,1 2,Harrogate Town
154,Salford City,4 2,Crewe Alexandra
155,Stockport County,1 0,Doncaster Rovers
156,Sutton United,4 0,Walsall
157,Tranmere Rovers,2 2,Grimsby Town
158,Celtic,3 1,Kilmarnock
159,Hearts,2 2,Hibernian
160,Livingston,2 0,Motherwell
161,Airdrieonians,1 2,Ayr United
162,Inverness CT,0 0,Partick Thistle
163,Queen's Park,0 0,Morton
164,Raith Rovers,1 1,Dundee United
165,Cove Rangers,3 2,Annan Athletic
166,Edinburgh City,1 4,Kelty Hearts
167,Montrose,2 1,Alloa Athletic
168,Queen Of The South,0 1,Stirling Albion
169,Falkirk,0 0,Hamilton Academical
170,Clyde,0 4,Dumbarton
171,Forfar Athletic,1 3,Peterhead
172,Stranraer,3 4,Spartans
173,Boreham Wood,0 2,Chesterfield
174,Ebbsfleet United,0 2,FC Halifax
175,Gateshead,0 2,Altrincham
176,Hartlepool United,3 1,Eastleigh
177,Kidderminster Harriers,1 0,Wealdstone
178,Maidenhead United,2 2,Rochdale
179,Oldham Athletic,1 1,Dagenham & Redbridge
180,Oxford City,3 0,AFC Fylde
181,Solihull Moors,0 1,Aldershot Town
182,Woking,0 2,Southend United
183,York City,2 2,Bromley
184,Dorking Wanderers,2 3,Barnet
185,Borussia Dortmund,4 2,1. FC Union Berlin
186,FC Augsburg,1 2,SV Darmstadt 98
187,RB Leipzig,0 0,Bochum
188,Stuttgart,3 1,Wolfsburg
189,Werder Bremen,2 3,Hoffenheim
190,Cadiz,0 1,Girona
191,Real Madrid,4 0,Osasuna
192,Real Mallorca,1 1,Valencia
193,Sevilla,2 2,Rayo Vallecano
194,Inter Milan,2 2,Bologna
195,Juventus,2 0,Torino
196,Genoa,0 1,AC Milan
197,Metz,0 1,Nice
198,Reims,1 3,Monaco
199,AFC Totton,2 1,Plymouth Parkway
